"CODE";"PREQUESTION";"numberOfAsking"
"416";"EQ5D";NULL
"96";"KOOS";NULL
"96";"keenOutcome";NULL
"104";"EQ5D";NULL
"104";"EQ5D3";NULL
"104";"KOOS";NULL
"104";"keenOutcome";NULL
"103";"EQ5D";NULL
"103";"EQ5D3";NULL
"103";"KOOS";NULL
"103";"keenOutcome";NULL
"391";"EQ5D";NULL
"391";"EQ5D3";NULL
"391";"KOOS";NULL
"391";"keenOutcome";NULL
"138";"EQ5D";NULL
"138";"EQ5D5";NULL
"138";"NDI";NULL
"138";"NeckAndArmPain";NULL
"138";"MDI";NULL
"138";"spineOutcome";NULL
"142";"EQ5D";NULL
"142";"EQ5D5";NULL
"142";"NDI";NULL
"142";"NeckAndArmPain";NULL
"142";"MDI";NULL
"142";"spineOutcome";NULL
"510";"EQ5D";NULL
"510";"EQ5D5";NULL
"510";"NDI";NULL
"510";"NeckAndArmPain";NULL
"510";"MDI";NULL
"510";"spineOutcome";NULL
"511";"EQ5D";NULL
"511";"EQ5D5";NULL
"511";"NDI";NULL
"511";"NeckAndArmPain";NULL
"511";"MDI";NULL
"511";"spineOutcome";NULL
"517";"EQ5D";NULL
"517";"EQ5D5";NULL
"517";"NDI";NULL
"517";"NeckAndArmPain";NULL
"517";"MDI";NULL
"517";"spineOutcome";NULL
"147";"EQ5D";NULL
"147";"EQ5D5";NULL
"147";"NDI";NULL
"147";"NeckAndArmPain";NULL
"147";"MDI";NULL
"147";"spineOutcome";NULL
"427";"EQ5D";NULL
"427";"EQ5D5";NULL
"427";"NDI";NULL
"427";"NeckAndArmPain";NULL
"427";"MDI";NULL
"427";"spineOutcome";NULL
"154";"EQ5D";NULL
"154";"EQ5D5";NULL
"154";"ODI";NULL
"154";"BackAndLegPain";NULL
"154";"spineOutcome";NULL
"532";"EQ5D";NULL
"532";"EQ5D5";NULL
"532";"ODI";NULL
"532";"BackAndLegPain";NULL
"532";"spineOutcome";NULL
"533";"EQ5D";NULL
"533";"EQ5D5";NULL
"533";"ODI";NULL
"533";"BackAndLegPain";NULL
"533";"spineOutcome";NULL
"534";"EQ5D";NULL
"534";"EQ5D5";NULL
"534";"ODI";NULL
"534";"BackAndLegPain";NULL
"534";"spineOutcome";NULL
"010";"EQ5D";NULL
"010";"EQ5D5";NULL
"010";"ODI";NULL
"010";"BackAndLegPain";NULL
"010";"spineOutcome";NULL
"152";"EQ5D";NULL
"152";"EQ5D5";NULL
"152";"ODI";NULL
"152";"BackAndLegPain";NULL
"152";"spineOutcome";NULL
"153";"EQ5D";NULL
"153";"EQ5D5";NULL
"153";"ODI";NULL
"153";"BackAndLegPain";NULL
"153";"spineOutcome";NULL
"431";"EQ5D";NULL
"431";"EQ5D5";NULL
"431";"ODI";NULL
"431";"BackAndLegPain";NULL
"431";"spineOutcome";NULL
"529";"EQ5D";NULL
"529";"EQ5D5";NULL
"529";"ODI";NULL
"529";"BackAndLegPain";NULL
"529";"spineOutcome";NULL
"531";"EQ5D";NULL
"531";"EQ5D5";NULL
"531";"ODI";NULL
"531";"BackAndLegPain";NULL
"531";"spineOutcome";NULL
"536";"EQ5D";NULL
"536";"EQ5D5";NULL
"536";"ODI";NULL
"536";"BackAndLegPain";NULL
"536";"spineOutcome";NULL
"240";"EQ5D";NULL
"240";"EQ5D5";NULL
"240";"EQ5D3";NULL
"240";"OxfordKeenScore";NULL
"240";"keenOutcome";NULL
"241";"EQ5D";NULL
"241";"EQ5D5";NULL
"241";"EQ5D3";NULL
"241";"OxfordKeenScore";NULL
"241";"keenOutcome";NULL
"418";"EQ5D";NULL
"418";"EQ5D5";NULL
"418";"EQ5D3";NULL
"418";"OxfordKeenScore";NULL
"418";"keenOutcome";NULL
"239";"EQ5D";NULL
"239";"EQ5D5";NULL
"239";"EQ5D3";NULL
"239";"OxfordKeenScore";NULL
"239";"keenOutcome";NULL
"236";"EQ5D";NULL
"236";"EQ5D5";NULL
"236";"EQ5D3";NULL
"236";"OxfordKeenScore";NULL
"236";"keenOutcome";NULL
"423";"EQ5D";NULL
"423";"EQ5D5";NULL
"423";"EQ5D3";NULL
"423";"OxfordKeenScore";NULL
"423";"keenOutcome";NULL
"424";"EQ5D";NULL
"424";"EQ5D5";NULL
"424";"EQ5D3";NULL
"424";"OxfordKeenScore";NULL
"424";"keenOutcome";NULL
"396";"EQ5D";NULL
"396";"EQ5D5";NULL
"396";"EQ5D3";NULL
"396";"OxfordKeenScore";NULL
"396";"keenOutcome";NULL
"393";"EQ5D";NULL
"393";"EQ5D5";NULL
"393";"EQ5D3";NULL
"393";"OxfordKeenScore";NULL
"393";"keenOutcome";NULL
"218";"EQ5D";NULL
"218";"EQ5D5";NULL
"218";"EQ5D3";NULL
"218";"OHS";NULL
"218";"NAHSRpatientSatisfaction";NULL
"219";"EQ5D";NULL
"219";"EQ5D5";NULL
"219";"EQ5D3";NULL
"219";"OHS";NULL
"219";"NAHSRpatientSatisfaction";NULL
"220";"EQ5D";NULL
"220";"EQ5D5";NULL
"220";"EQ5D3";NULL
"220";"OHS";NULL
"220";"NAHSRpatientSatisfaction";NULL
"221";"EQ5D";NULL
"221";"EQ5D5";NULL
"221";"EQ5D3";NULL
"221";"OHS";NULL
"221";"NAHSRpatientSatisfaction";NULL
"82";"EQ5D";NULL
"82";"EQ5D5";NULL
"82";"EQ5D3";NULL
"82";"OHS";NULL
"82";"NAHSRpatientSatisfaction";NULL
"86";"EQ5D";NULL
"86";"EQ5D5";NULL
"86";"EQ5D3";NULL
"86";"OHS";NULL
"86";"NAHSRpatientSatisfaction";NULL
"360";"EQ5D";NULL
"360";"EQ5D5";NULL
"360";"EQ5D3";NULL
"360";"OHS";NULL
"360";"NAHSRpatientSatisfaction";NULL
"387";"EQ5D";NULL
"387";"EQ5D5";NULL
"387";"EQ5D3";NULL
"387";"OHS";NULL
"387";"NAHSRpatientSatisfaction";NULL
"213";"EQ5D";NULL
"213";"EQ5D5";NULL
"213";"EQ5D3";NULL
"213";"OHS";NULL
"213";"NAHSRpatientSatisfaction";NULL
"214";"EQ5D";NULL
"214";"EQ5D5";NULL
"214";"EQ5D3";NULL
"214";"OHS";NULL
"214";"NAHSRpatientSatisfaction";NULL
"215";"EQ5D";NULL
"215";"EQ5D5";NULL
"215";"EQ5D3";NULL
"215";"OHS";NULL
"215";"NAHSRpatientSatisfaction";NULL
"386";"EQ5D";NULL
"386";"EQ5D5";NULL
"386";"EQ5D3";NULL
"386";"OHS";NULL
"386";"NAHSRpatientSatisfaction";NULL
"414";"EQ5D";NULL
"414";"EQ5D5";NULL
"414";"EQ5D3";NULL
"414";"OHS";NULL
"414";"NAHSRpatientSatisfaction";NULL
"415";"EQ5D";NULL
"415";"EQ5D5";NULL
"415";"EQ5D3";NULL
"415";"OHS";NULL
"415";"NAHSRpatientSatisfaction";NULL
"208";"EQ5D";NULL
"208";"EQ5D5";NULL
"208";"EQ5D3";NULL
"208";"OHS";NULL
"208";"NAHSRpatientSatisfaction";NULL
"388";"EQ5D";NULL
"388";"EQ5D5";NULL
"388";"EQ5D3";NULL
"388";"OHS";NULL
"388";"NAHSRpatientSatisfaction";NULL
"245";"EQ5D";NULL
"245";"EQ5D3";NULL
"245";"MOXFQ";NULL
"245";"painVAS";NULL
"245";"AOS";NULL
"245";"AOFAS";NULL
"245";"footAndAnkelOutcome";NULL
"245";"COFAS-AOS";NULL
"593";"EQ5D";NULL
"593";"EQ5D3";NULL
"593";"MOXFQ";NULL
"593";"painVAS";NULL
"593";"AOS";NULL
"593";"AOFAS";NULL
"593";"footAndAnkelOutcome";NULL
"593";"COFAS-AOS";NULL
"246";"EQ5D";NULL
"246";"EQ5D3";NULL
"246";"MOXFQ";NULL
"246";"painVAS";NULL
"246";"AOS";NULL
"246";"AOFAS";NULL
"246";"footAndAnkelOutcome";NULL
"246";"COFAS-AOS";NULL
"579";"EQ5D";NULL
"579";"EQ5D3";NULL
"579";"MOXFQ";NULL
"579";"painVAS";NULL
"579";"AOS";NULL
"579";"AOFAS";NULL
"579";"footAndAnkelOutcome";NULL
"579";"COFAS-AOS";NULL
"327";"EQ5D";NULL
"327";"EQ5D3";NULL
"327";"MOXFQ";NULL
"327";"painVAS";NULL
"327";"AOS";NULL
"327";"AOFAS";NULL
"327";"footAndAnkelOutcome";NULL
"327";"COFAS-AOS";NULL
"248";"SAFAS";NULL
"248";"painVAS";NULL
"248";"MOXFQ";NULL
"248";"EQ5D3";NULL
"248";"EQ5D";NULL
"342";"footAndAnkelOutcome";NULL
"342";"AOFAS";NULL
"342";"SAFAS";NULL
"342";"painVAS";NULL
"342";"MOXFQ";NULL
"342";"EQ5D3";NULL
"342";"EQ5D";NULL
"248";"AOFAS";NULL
"248";"footAndAnkelOutcome";NULL
"397";"COFAS-AOS";NULL
"397";"painVAS";NULL
"397";"MOXFQ";NULL
"397";"EQ5D3";NULL
"397";"EQ5D";NULL
"591";"footAndAnkelOutcome";NULL
"398";"MOXFQ";NULL
"398";"EQ5D3";NULL
"398";"EQ5D";NULL
"397";"AOS";NULL
"397";"AOFAOS";NULL
"581";"footAndAnkelOutcome";NULL
"581";"ATRS";NULL
"581";"painVAS";NULL
"581";"MOXFQ";NULL
"581";"EQ5D3";NULL
"581";"EQ5D";NULL
"591";"painVAS";NULL
"591";"MOXFQ";NULL
"591";"EQ5D3";NULL
"591";"EQ5D";NULL
"581";"VISSA";NULL
"398";"painVAS";NULL
"398";"COFAS-AOS";NULL
"398";"AOFAOS";NULL
"398";"AOS";NULL
